timestamp,gpu_memory_used_mib
2026-09-18T17:54:16.9939877+08:00,0
2026-09-18T17:54:18.0796690+08:00,0
2026-09-18T17:54:19.1034514+08:00,0
2026-09-18T17:54:19.6657507+08:00,0
2026-09-18T17:54:20.2445405+08:00,0
2026-09-18T17:54:20.8017018+08:00,0
2026-09-18T17:54:21.3574023+08:00,0
2026-09-18T17:54:22.1139535+08:00,0
2026-09-18T17:54:22.6950842+08:00,0
2026-09-18T17:54:23.2695123+08:00,0
2026-09-18T17:54:23.9182833+08:00,0
2026-09-18T17:54:24.9632360+08:00,0
2026-09-18T17:54:25.5205644+08:00,0
2026-09-18T17:54:26.0908982+08:00,0
2026-09-18T17:54:26.6413113+08:00,0
2026-09-18T17:54:27.9819122+08:00,8
2026-09-18T17:54:28.5433693+08:00,128
2026-09-18T17:54:29.4956433+08:00,134
2026-09-18T17:54:30.1223400+08:00,176
2026-09-18T17:54:30.6933506+08:00,198
2026-09-18T17:54:31.2665017+08:00,200
2026-09-18T17:54:31.9752124+08:00,200
